Item,Pallet No.,SeriBl No,Pmax(W),Voc(V),Isc(B),Ipm(B),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
179,5,H1NE07625,334.4,70.8,6.072,5.655,59.14,77.83,1759,5,0,537,2,B2
180,5,H1NE07677,331.9,70.5,6.026,5.613,59.12,78.15,207,5,0,540,2,B2
181,5,H1NE07614,334.6,70.9,6.079,5.656,59.16,77.64,1801,5,0,543,2,B3
182,5,H1NE07679,332.1,70.5,6.024,5.613,59.17,78.23,212,5,0,546,2,B3
183,5,H1NE07681,331.9,70.5,6.032,5.609,59.17,78.05,105,5,0,549,2,B3
184,5,H1NE07678,334.3,70.6,6.071,5.654,59.12,78,1713,5,0,552,2,B3
185,5,H1NE07682,331.6,70.5,6.027,5.615,59.06,78.1,272,5,0,555,2,B3
186,5,H1NE07686,334.3,70.7,6.077,5.661,59.04,77.75,1970,5,0,558,2,B3
187,5,H1NE07683,331.9,70.7,6.047,5.619,59.08,77.68,439,5,0,561,2,B3
188,5,H1NE07652,334.5,70.8,6.069,5.649,59.21,77.85,1485,5,0,564,2,B3
189,5,H1NE07635,332.9,70.8,6.045,5.606,59.38,77.79,61,5,0,567,2,B3
190,5,H1NE07660,332.2,70.7,6.071,5.611,59.21,77.43,159,5,0,570,2,B3
191,5,H1NE07640,334.3,70.9,6.068,5.646,59.22,77.76,1339,5,0,573,2,B3
192,5,H1NE07664,332.7,70.6,6.068,5.621,59.19,77.65,533,5,0,576,2,B3
193,5,H1NE07667,332.3,70.6,6.046,5.612,59.21,77.8,184,5,0,579,2,B4
194,5,H1NE07655,334.8,70.9,6.065,5.652,59.24,77.92,1630,5,0,582,2,B4
195,5,H1NE07669,331.2,70.5,6.072,5.625,58.87,77.38,649,5,0,585,2,B4
196,5,H1NE07665,334.2,70.8,6.065,5.645,59.2,77.86,1294,5,0,588,2,B4
197,5,H1NE07634,333,70.8,6.04,5.614,59.31,77.89,255,5,0,591,2,B4
198,5,H1NE07666,334.8,70.7,6.084,5.661,59.14,77.84,1976,5,0,594,2,B4
199,5,H1NE07672,332.7,70.7,6.068,5.625,59.15,77.55,657,5,0,597,2,B4
200,5,GZNE29684,332.9,70.6,6.054,5.629,59.14,77.91,752,5,0,600,2,B4
201,6,H1NE07811,333.5,70.6,6.07,5.654,59,77.85,1706,8,0,603,2,B4
202,6,H1NE07826,331.7,70.7,6.019,5.6,59.24,77.93,14,8,0,606,2,B4
203,6,H1NE07821,334,70.8,6.063,5.642,59.2,77.84,1137,8,0,609,2,B4
204,6,H1NE07822,334,70.9,6.073,5.638,59.24,77.62,992,8,0,612,2,B4
205,6,H1NE07825,334.5,70.9,6.077,5.653,59.17,77.67,1664,8,0,615,2,B5
206,6,H1NE07815,332,70.7,6.038,5.611,59.16,77.77,157,8,0,618,2,B5
207,6,H1NE07829,334.5,70.8,6.064,5.648,59.23,77.92,1435,8,0,621,2,B5
208,6,H1NE07831,334.6,70.8,6.074,5.655,59.16,77.82,1762,8,0,624,2,B5
209,6,H1NE07834,332.3,70.7,6.049,5.607,59.26,77.7,77,8,0,627,2,B5
210,6,H1NE07783,334.1,70.8,6.061,5.652,59.12,77.87,1618,8,0,630,2,B5
211,6,H1NE07762,331.2,70.4,6.053,5.619,58.95,77.7,436,8,0,633,2,B5
212,6,H1NE07788,331.9,70.5,6.034,5.617,59.09,78,349,8,0,636,2,B5
213,6,H1NE07770,332.6,70.7,6.097,5.655,58.82,77.22,1747,8,0,639,2,B5
214,6,H1NE07785,332.2,70.6,6.063,5.616,59.14,77.62,317,8,0,642,2,B5
215,6,H1NE07784,333.3,70.7,6.069,5.654,58.95,77.7,1705,8,0,645,2,B5
216,6,H1NE07777,331.6,70.5,6.061,5.613,59.09,77.57,204,8,0,648,2,B5
217,6,H1NE07791,332.2,70.6,6.093,5.65,58.79,77.27,1514,8,0,651,2,B6
218,6,H1NE07806,331.2,70.5,6.056,5.614,59,77.54,239,8,0,654,2,B6
219,6,H1NE07792,333.7,70.7,6.078,5.647,59.08,77.59,1390,8,0,657,2,B6
220,6,H1NE07810,330.8,70.4,6.039,5.607,59.01,77.77,68,8,0,660,2,B6
221,6,H1NE07735,334,70.7,6.075,5.647,59.15,77.77,1391,8,0,663,2,B6
222,6,H1NE07790,332,70.6,6.046,5.61,59.17,77.78,136,8,0,666,2,B6
223,6,H1NE07802,334.1,70.6,6.089,5.659,59.03,77.7,1904,8,0,669,2,B6
224,6,H1NE07818,332.5,70.7,6.057,5.617,59.21,77.67,358,8,0,672,2,B6
225,6,H1NE07793,334.1,70.7,6.087,5.658,59.04,77.6,1868,8,0,675,2,B6
226,6,H1NE07794,333.6,70.6,6.08,5.65,59.04,77.73,1528,8,0,678,2,B6
227,6,H1NE07819,332.2,70.8,6.032,5.611,59.2,77.84,160,8,0,681,2,B6
228,6,H1NE07805,332.7,70.6,6.055,5.639,59,77.85,1024,8,0,684,2,B6
229,6,H1NE07787,333.1,70.6,6.063,5.647,58.99,77.83,1386,8,0,687,2,B7
