Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1071,27,H1NE07537,333.4,70.7,6.054,5.617,59.36,77.86,373,20,0,3213,14,S38
1072,27,H1NE07538,333.3,70.7,6.052,5.623,59.28,77.93,612,20,0,3216,14,S38
1073,27,H1NE07542,334.4,70.7,6.078,5.655,59.14,77.82,1760,20,0,3219,14,S29
1074,27,H1NE07536,333.3,70.7,6.076,5.618,59.33,77.58,408,20,0,3222,14,S38
1075,27,H1NE07543,333.9,70.8,6.081,5.654,59.05,77.6,1712,20,0,3225,14,S29
1076,27,H1NE07535,333.3,70.7,6.042,5.614,59.38,78.02,263,20,0,3228,14,S38
1077,27,H1NE07544,335.3,70.8,6.087,5.658,59.26,77.81,1886,20,0,3231,14,S29
1078,27,H1NE07534,333.1,70.6,6.047,5.618,59.28,77.96,404,20,0,3234,14,S38
1079,27,H1NE07557,334,70.8,6.081,5.652,59.1,77.55,1617,20,0,3237,14,S29
1080,27,GZNE29692,336.1,70.8,6.09,5.667,59.31,77.96,2092,20,0,3240,14,S29
1081,28,H1NE07622,334.2,70.7,6.085,5.655,59.09,77.68,1757,18,0,3243,14,S34
1082,28,H1NE07569,334.9,70.9,6.076,5.644,59.33,77.76,1244,18,0,3246,14,S27
1083,28,H1NE07623,335.2,70.9,6.073,5.653,59.29,77.89,1673,18,0,3249,14,S27
1084,28,H1NE07610,332,70.7,6.066,5.61,59.18,77.4,137,18,0,3252,14,S33
1085,28,H1NE07611,332.7,70.7,6.049,5.615,59.26,77.77,285,18,0,3255,14,S33
1086,28,H1NE07603,333.8,70.7,6.065,5.618,59.43,77.81,426,18,0,3258,14,S33
1087,28,H1NE07612,332.5,70.7,6.07,5.611,59.27,77.43,167,18,0,3261,14,S33
1088,28,H1NE07613,332.2,70.7,6.058,5.617,59.14,77.58,354,18,0,3264,14,S33
1089,28,H1NE07615,332.7,70.7,6.052,5.61,59.3,77.75,142,18,0,3267,14,S33
1090,28,H1NE07617,332.4,70.7,6.045,5.609,59.25,77.76,113,18,0,3270,14,S33
1091,28,H1NE07618,331.9,70.6,6.047,5.613,59.12,77.76,210,18,0,3273,14,S33
1092,28,H1NE07583,331.9,70.6,6.053,5.607,59.2,77.67,73,18,0,3276,14,S33
1093,28,H1NE07619,332.3,70.7,6.05,5.609,59.25,77.73,111,18,0,3279,14,S31
1094,28,H1NE07620,331.7,70.7,6.057,5.604,59.18,77.42,39,18,0,3282,08,N79
1095,28,H1NE07594,331.6,70.6,6.061,5.611,59.11,77.49,155,18,0,3285,14,S31
1096,28,H1NE07595,331.9,70.7,6.048,5.607,59.2,77.63,74,18,0,3288,14,S31
1097,28,H1NE07596,331,70.7,6.043,5.607,59.02,77.51,69,18,0,3291,14,S31
1098,28,H1NE07597,333.4,70.8,6.055,5.61,59.42,77.8,148,18,0,3294,14,S31
